,username,title,numGames,winRate,numWhite,whiteRate,numBlack,blackRate
365,tigerlilov,im,1,0.0,0,,1,0.0
366,crazyluzhinth3,im,11,0.5454545454545454,0,,11,0.5454545454545454
367,barberbirborbur,im,12,0.75,6,0.6666666666666666,6,0.8333333333333334
368,bardiya_daneshvar,im,85,0.5529411764705883,0,,85,0.5529411764705883
369,shukh_nikolay,im,1,1.0,0,,1,1.0
370,superbueno,im,8,0.5,0,,8,0.5
371,lavrov_maxim,im,10,0.4,0,,10,0.4
372,alexey_potapov,im,623,0.507223113964687,0,,623,0.507223113964687
373,davidgavrilescu18,im,6,0.5,0,,6,0.5
374,thecoppereagle,im,5,0.2,0,,5,0.2
375,andeev,im,180,0.49444444444444446,88,0.48863636363636365,92,0.5
376,olegkrivonosov,im,84,0.5238095238095238,0,,84,0.5238095238095238
377,dzhumagaliev,im,80,0.825,41,0.8780487804878049,39,0.7692307692307693
378,andreyostrovskiy,im,1,0.0,0,,1,0.0
379,ellicott2012,im,6,0.6666666666666666,3,0.6666666666666666,3,0.6666666666666666
380,kannappan-stl,im,3,0.3333333333333333,0,,3,0.3333333333333333
381,inigodust,im,30,0.3333333333333333,0,,30,0.3333333333333333
382,normal23,im,5,0.6,3,0.3333333333333333,2,1.0
383,vasilijevladacki,im,127,0.5511811023622047,0,,127,0.5511811023622047
384,yarosavich,im,3,1.0,1,1.0,2,1.0
385,roktimb,im,0,,0,,0,
386,resha1988,im,16,0.375,8,0.375,8,0.375
387,playchesssimple,im,59,0.3220338983050847,0,,59,0.3220338983050847
388,isikcan05,im,39,0.4358974358974359,0,,39,0.4358974358974359
389,fofo65,im,142,0.7394366197183099,73,0.8082191780821918,69,0.6666666666666666
390,improvidence,im,478,0.4393305439330544,0,,478,0.4393305439330544
391,pawnwonder,im,18,0.3888888888888889,9,0.4444444444444444,9,0.3333333333333333
392,thunderrpanda,im,148,0.47297297297297297,0,,148,0.47297297297297297
393,draksbg,im,63,0.5873015873015873,32,0.625,31,0.5483870967741935
394,themind1hunter,im,33,0.7272727272727273,18,0.6111111111111112,15,0.8666666666666667
395,ari_dale,im,83,0.4457831325301205,0,,83,0.4457831325301205
396,quinten94,im,1,0.0,0,,1,0.0
397,profylactic,im,84,0.5119047619047619,0,,84,0.5119047619047619
398,shoytan,im,12,0.4166666666666667,0,,12,0.4166666666666667
399,kenta1234,im,38,0.8157894736842105,19,0.8947368421052632,19,0.7368421052631579
400,simplechess,fm,4,1.0,2,1.0,2,1.0
401,samk52,fm,70,0.38571428571428573,0,,70,0.38571428571428573
402,lcda,fm,12,0.5833333333333334,0,,12,0.5833333333333334
403,abubakrtagelsir,fm,12,0.75,6,0.5,6,1.0
404,catalin009,fm,32,0.84375,16,0.8125,16,0.875
405,khamzinolzhas,fm,13,0.23076923076923078,0,,13,0.23076923076923078
406,paolochess15,fm,69,0.43478260869565216,0,,69,0.43478260869565216
407,checksumme,fm,232,0.3706896551724138,0,,232,0.3706896551724138
408,meesvanosch,fm,108,0.48148148148148145,0,,108,0.48148148148148145
409,midedu,fm,7,0.2857142857142857,3,0.3333333333333333,4,0.25
410,kinkaiser,fm,33,0.5454545454545454,0,,33,0.5454545454545454
411,fmdaveledger,fm,13,0.46153846153846156,0,,13,0.46153846153846156
412,zzzazzzz,fm,1261,0.47977795400475814,627,0.49122807017543857,634,0.46845425867507884
413,7-the_dragon-7,fm,54,0.35185185185185186,0,,54,0.35185185185185186
414,endgamegrinder,fm,60,0.4666666666666667,0,,60,0.4666666666666667
415,bratkoo,fm,29,0.7931034482758621,15,0.8,14,0.7857142857142857
416,andrycos,fm,23,0.8260869565217391,11,0.9090909090909091,12,0.75
417,marcodobrikov,fm,233,0.48068669527896996,113,0.5309734513274337,120,0.43333333333333335
418,whyme85,fm,212,0.7028301886792453,107,0.7476635514018691,105,0.6571428571428571
419,zocpoc71,fm,3,0.6666666666666666,1,1.0,2,0.5
420,quesfr,fm,33,0.7272727272727273,17,0.8235294117647058,16,0.625
421,joseremolar,fm,349,0.4326647564469914,0,,349,0.4326647564469914
422,seriosha,fm,350,0.4742857142857143,0,,350,0.4742857142857143
423,wild3000,fm,6,0.5,4,0.75,2,0.0
424,aguiar94,fm,211,0.5118483412322274,0,,211,0.5118483412322274
425,theknightofbosnia,fm,140,0.42142857142857143,0,,140,0.42142857142857143
